Middle Chinese,Predicted Initial Cantonese
zh,"{'t', 'z', 'c'}"
ch,"{'c', 's', 'z'}"
sh,"{'c', 's', 'z'}"
b,"{'p', 'b'}"
p,"{'b', 'p', 'f'}"
m,"{'m', '∅', 'f'}"
f,{'f'}
d,"{'d', 't', 'z', 's'}"
t,"{'d', 't', 'z', 'c'}"
n,"{'z', 'n', 'l'}"
l,"{'l', 'j'}"
g,"{'g', 'k', 'w'}"
k,"{'h', 'k', '∅', 'f'}"
h,"{'w', 'h', 'f', 'g', 's', 'k'}"
j,"{'z', 'f', 'g', 'c', 'k'}"
q,"{'h', 'j', 'g', 'c', 's', 'k'}"
x,"{'l', 'h', 'z', 'f', 'j', 'g', 'c', 's', 'k', 'n'}"
r,"{'w', 'z', 'n', 'j'}"
z,"{'z', 'c'}"
c,{'c'}
s,"{'c', 's'}"
∅,"{'w', 'j', 'm', '∅', 'z', 'n'}"
