Scheme,Model,Accuracy,Initial Accuracy,Final Accuracy,Tone Accuracy,Top 3 Accuracy,Top 3 Initial Accuracy,Top 3 Final Accuracy,Top 3 Tone Accuracy
ltc_yue2cmn,MLP,0.7579,0.8946,0.9014,0.8675,0.9057,0.9703,0.9643,0.9499
ltc_yue2cmn,CNN,0.7103,0.8726,0.8598,0.8632,0.8895,0.9609,0.9567,0.9405
ltc_yue2cmn,RNN,0.7468,0.8895,0.8904,0.8598,0.9048,0.9728,0.9677,0.9499
ltc_yue2cmn,LSTM,0.7239,0.8862,0.8794,0.8522,0.8929,0.9626,0.9592,0.9439
ltc_yue2cmn,Transformer,0.7307,0.8887,0.8828,0.8581,0.9108,0.9762,0.9711,0.949
yue2cmn,MLP,0.6112,0.788,0.7856,0.854,0.8675,0.9495,0.9402,0.9328
yue2cmn,CNN,0.5742,0.7646,0.7683,0.8373,0.8577,0.9489,0.939,0.9248
yue2cmn,RNN,0.6168,0.785,0.785,0.8608,0.8805,0.9587,0.9482,0.9341
yue2cmn,LSTM,0.6001,0.7696,0.7825,0.8521,0.862,0.9507,0.9445,0.9285
yue2cmn,Transformer,0.5872,0.7745,0.777,0.8441,0.8577,0.9464,0.9421,0.9304
ltc_cmn2yue,MLP,0.7205,0.8895,0.8768,0.8454,0.8819,0.9703,0.955,0.9278
ltc_cmn2yue,CNN,0.6712,0.8811,0.8275,0.825,0.8615,0.9635,0.938,0.9201
ltc_cmn2yue,RNN,0.678,0.8879,0.8284,0.8309,0.8666,0.9728,0.9397,0.9193
ltc_cmn2yue,LSTM,0.6848,0.8709,0.8343,0.8309,0.8649,0.9686,0.9431,0.9218
ltc_cmn2yue,Transformer,0.7018,0.8853,0.8445,0.8445,0.887,0.9788,0.9524,0.9303
cmn2yue,MLP,0.5071,0.8176,0.6821,0.7517,0.825,0.9618,0.9107,0.899
cmn2yue,CNN,0.4824,0.8065,0.6624,0.7412,0.7924,0.9538,0.8885,0.8854
cmn2yue,RNN,0.5028,0.8158,0.6747,0.7492,0.8071,0.9593,0.8996,0.8953
cmn2yue,LSTM,0.5028,0.8065,0.6796,0.7486,0.809,0.96,0.8996,0.8922
cmn2yue,Transformer,0.4627,0.7948,0.6556,0.7363,0.7856,0.9445,0.8959,0.8854
